"Activity","StartWeek","StartDay","StartDate","StartTime","EndDay","EndDate","EndTime","Duration","StaffMember","Room","StudentSets","Department","Size"
"2d","39","Thu","2018-09-27","10:15","Thu","2018-09-27","11:45","1:30","MRE","A224 (0)","2GA2","","0"
"2d","39","Thu","2018-09-27","10:15","Thu","2018-09-27","11:45","1:30","LEN","A127 (0)","1GA2","","0"
"burger","39","Thu","2018-09-27","10:15","Thu","2018-09-27","11:45","1:30","JDE","A115 (0)","1K1","","0"
"ned","39","Thu","2018-09-27","10:15","Thu","2018-09-27","11:45","1:30","LMU","A130 (0)","3GD1","","0"
"program","39","Thu","2018-09-27","10:15","Thu","2018-09-27","12:45","2:30","RBR","A129 (0)","1GD2","","0"
"typo","39","Thu","2018-09-27","10:45","Thu","2018-09-27","11:45","1:00","ESC","B218 (0)","1GV3","","0"
"3d","39","Thu","2018-09-27","10:45","Thu","2018-09-27","12:45","2:00","CPE","A225 (0)","2GA1","","0"
"vormg","39","Thu","2018-09-27","10:45","Thu","2018-09-27","12:45","2:00","SRI","A223 (0)","1GA1","","0"
"rek","39","Thu","2018-09-27","11:15","Thu","2018-09-27","12:15","1:00","HAL","B116 (0)","1GD1","","0"
"rek","39","Thu","2018-09-27","11:15","Thu","2018-09-27","12:15","1:00","JLI","B214 (0)","2GV5","","0"
"ned","39","Thu","2018-09-27","11:15","Thu","2018-09-27","12:45","1:30","MVE","B115 (0)","3GA1","","0"
"loopbaan","39","Thu","2018-09-27","11:45","Thu","2018-09-27","12:45","1:00","AZW","A115 (0)","1AAV1","","0"
"ned","39","Thu","2018-09-27","11:45","Thu","2018-09-27","12:45","1:00","LMU","A130 (0)","2GD1","","0"
"program","39","Thu","2018-09-27","11:45","Thu","2018-09-27","12:45","1:00","LCA","A128 (0)","3GD1","","0"
"slb","39","Thu","2018-09-27","11:45","Thu","2018-09-27","12:45","1:00","DWO","A127 (0)","2GA2","","0"
"typo","39","Thu","2018-09-27","12:15","Thu","2018-09-27","13:15","1:00","ESC","B218 (0)","1GV3","","0"
"rek","39","Thu","2018-09-27","12:45","Thu","2018-09-27","13:45","1:00","JLI","B214 (0)","3GV1","","0"
"ned","39","Thu","2018-09-27","13:15","Thu","2018-09-27","14:15","1:00","LMU","A130 (0)","2GD1","","0"
"vormg","39","Thu","2018-09-27","13:15","Thu","2018-09-27","14:15","1:00","SRI","A223 (0)","1GA1","","0"
"engine","39","Thu","2018-09-27","13:15","Thu","2018-09-27","14:45","1:30","RBR","A129 (0)","1GD1","","0"
